year,ssp126,ssp245,ssp370,ssp585
1889,0.05027196428824174,0.05027196428824174,0.08230006255729574,0.05027196428824174
1890,-1.1064210447067948,-1.1064210447067948,-0.8680396623833179,-1.1064210447067948
1891,-0.48832548013112076,-0.48832548013112076,-0.23006813978597823,-0.48832548013112076
1892,-0.27225093454922045,-0.27225093454922045,-0.0520410228968743,-0.27225093454922045
1893,0.11598344075337208,0.11598344075337208,-0.27247324027309483,0.11598344075337208
1894,0.22189042710801793,0.22189042710801793,0.24885132295241247,0.22189042710801793
1895,-1.0879711312680902,-1.0879711312680902,-0.07681961139761428,-1.0879711312680902
1896,0.5232268476049214,0.5232268476049214,0.009972985256448075,0.5232268476049214
1897,-0.3538813987051438,-0.3538813987051438,0.09700370285811036,-0.3538813987051438
1898,0.09955433347077322,0.09955433347077322,-0.1744417189117637,0.09955433347077322
1899,0.1124766425977956,0.1124766425977956,-0.046336345620960395,0.1124766425977956
1900,0.09696143799988419,0.09696143799988419,-0.04618631840653206,0.09696143799988419
1901,-0.44292360419469046,-0.44292360419469046,-0.23853911862637264,-0.44292360419469046
1902,-1.0473293649474125,-1.0473293649474125,-0.7115504097241161,-1.0473293649474125
1903,-1.442737347936685,-1.442737347936685,-1.1800785325381484,-1.442737347936685
1904,-1.8611391529294778,-1.8611391529294778,-0.8612543834044342,-1.8611391529294778
1905,0.004614329107098525,0.004614329107098525,-0.5589913930024968,0.004614329107098525
1906,0.12943617620216913,0.12943617620216913,0.22003150518998738,0.12943617620216913
1907,0.409453656005241,0.409453656005241,0.2157111003583989,0.409453656005241
1908,-0.7075071535626258,-0.7075071535626258,-0.27062586848070475,-0.7075071535626258
1909,0.5478760999360519,0.5478760999360519,0.1671567452266416,0.5478760999360519
1910,0.45452559560331907,0.45452559560331907,0.20696427962046915,0.45452559560331907
1911,-1.5162362063827166,-1.5162362063827166,-0.4893251996961947,-1.5162362063827166
1912,-0.023104712698582608,-0.023104712698582608,-0.6327727761282906,-0.023104712698582608
1913,0.11030252809957247,0.11030252809957247,-0.7776030813245941,0.11030252809957247
1914,-0.14110549907779638,-0.14110549907779638,-0.33426987888344756,-0.14110549907779638
1915,0.12486343749132583,0.12486343749132583,-0.09533037835117514,0.12486343749132583
1916,0.30322225827933713,0.30322225827933713,0.005991724438914492,0.30322225827933713
1917,0.5469997723437745,0.5469997723437745,0.12614621053686392,0.5469997723437745
1918,0.00946183790140398,0.00946183790140398,0.34709622955879466,0.00946183790140398
1919,-0.17772723465184115,-0.17772723465184115,0.10905551890570042,-0.17772723465184115
1920,0.27357499694500026,0.27357499694500026,0.24084276118172038,0.27357499694500026
1921,-0.16807012148213776,-0.16807012148213776,-0.05706954549457205,-0.16807012148213776
1922,0.365859989230641,0.365859989230641,0.056504627951956765,0.365859989230641
1923,0.2612469817848636,0.2612469817848636,0.20751985286605068,0.2612469817848636
1924,-0.7850714459826771,-0.7850714459826771,-0.3749895511241364,-0.7850714459826771
1925,-0.8754279555305193,-0.8754279555305193,-0.2833818757326706,-0.8754279555305193
