year,ssp126,ssp245,ssp370,ssp585
1915,0.13178801882043623,0.13178801882043623,-0.2770471553151878,0.13178801882043623
1916,0.1322159781778201,0.1322159781778201,0.08027701758220157,0.1322159781778201
1917,-0.1518669987244181,-0.1518669987244181,-0.11487630058135612,-0.1518669987244181
1918,-0.4435903369796294,-0.4435903369796294,-0.21210544681954613,-0.4435903369796294
1919,0.20770357267337847,0.20770357267337847,0.00433401082021434,0.20770357267337847
1920,0.0017491045678153516,0.0017491045678153516,0.062351739895899316,0.0017491045678153516
1921,-0.05373851630837606,-0.05373851630837606,-0.05600393651176211,-0.05373851630837606
1922,0.04572627890726122,0.04572627890726122,-0.15024241197019106,0.04572627890726122
1923,-0.3628676614810693,-0.3628676614810693,-0.1009927640386506,-0.3628676614810693
1924,-0.27757286766531836,-0.27757286766531836,-0.0997299584929286,-0.27757286766531836
1925,0.026766532249059338,0.026766532249059338,-0.0901547380817877,0.026766532249059338
1926,0.057237349348880195,0.057237349348880195,-0.1887744794304318,0.057237349348880195
1927,0.2958224064121925,0.2958224064121925,-0.06294256643986035,0.2958224064121925
1928,-0.011709995872966672,-0.011709995872966672,-0.008623396747544698,-0.011709995872966672
1929,-0.14910225927693643,-0.14910225927693643,-0.1610648891867114,-0.14910225927693643
1930,0.4376601869765175,0.4376601869765175,-0.23202311178013454,0.4376601869765175
1931,0.00315069529807388,0.00315069529807388,-0.025106688228308527,0.00315069529807388
1932,0.02288311472182436,0.02288311472182436,-0.08084133285836709,0.02288311472182436
1933,-0.16652930909497432,-0.16652930909497432,-0.14647879363367095,-0.16652930909497432
1934,-0.27864398556507236,-0.27864398556507236,-0.13706438568877916,-0.27864398556507236
1935,0.16475585593785425,0.16475585593785425,-0.12321596088920839,0.16475585593785425
1936,-0.07116983956259626,-0.07116983956259626,-0.11644758706382302,-0.07116983956259626
1937,-0.48906272672791656,-0.48906272672791656,-0.2571123147658945,-0.48906272672791656
1938,-0.07007731181073451,-0.07007731181073451,0.00780939374592704,-0.07007731181073451
1939,0.23728522895663362,0.23728522895663362,-0.0808985622187185,0.23728522895663362
1940,0.416956842771527,0.416956842771527,-0.12301897719366656,0.416956842771527
1941,0.38538654500786285,0.38538654500786285,0.0020719522653670497,0.38538654500786285
1942,0.1810614922916549,0.1810614922916549,-0.10977598829144736,0.1810614922916549
1943,-0.09860756720609609,-0.09860756720609609,-0.11644224783055346,-0.09860756720609609
1944,0.019501166790643065,0.019501166790643065,-0.1415927604764176,0.019501166790643065
1945,0.3729601757586126,0.3729601757586126,0.0999985744345454,0.3729601757586126
1946,0.43245525192865497,0.43245525192865497,-0.04170607449219432,0.43245525192865497
1947,0.45476203191427367,0.45476203191427367,-0.0017167802872269933,0.45476203191427367
1948,0.011402115912341748,0.011402115912341748,-0.13416845200804506,0.011402115912341748
1949,-0.38771254736279936,-0.38771254736279936,-0.11207713123158575,-0.38771254736279936
1950,0.13977593198508298,0.13977593198508298,-0.04696838435644224,0.13977593198508298
1951,-0.048098469085492424,-0.048098469085492424,-0.1449734343753285,-0.048098469085492424
1952,-0.15029169142953713,-0.15029169142953713,-0.08459431178387533,-0.15029169142953713
1953,-0.04588797067502548,-0.04588797067502548,-0.20818146617118383,-0.04588797067502548
1954,0.05922258636913025,0.05922258636913025,-0.24714733757671203,0.05922258636913025
1955,0.18412257871450743,0.18412257871450743,0.008907209768077684,0.18412257871450743
1956,-1.8865371336884706e-05,-1.8865371336884706e-05,0.02814464702685615,-1.8865371336884706e-05
1957,0.3818740018034379,0.3818740018034379,0.060626046672884404,0.3818740018034379
