year,ssp126,ssp245,ssp585
2061,-0.4003934065430341,-0.25747684448478125,0.0849362911805569
2062,-1.2176697208740848,-0.4752041125971882,0.17405447079636271
2063,-0.8861821755779209,-0.32776840467431523,0.15325987146507902
2064,-0.6297303725062813,-0.7263798589145365,-0.05106519011117072
2065,-0.5920215054488063,-0.268003687419788,-0.05052067808790728
2066,-0.5513757654174465,-0.5772172014615684,-0.30919384937129024
2067,-0.8528811798312894,-0.8027824311066043,-0.04468248843977651
2068,-0.6441687255867858,-0.2362400421867692,-0.08967253293233224
2069,-0.7468874698373025,-0.7765877222270783,0.08115177768995885
2070,-0.8805849137914925,-0.6144455278029568,-0.35397821446243416
2071,-1.2747692555263042,-0.522813103312866,-0.8886958410596968
2072,-0.6504138803744537,-0.4935174742491295,-0.17466794137551744
2073,-0.5091363064646064,-0.7519423600701778,0.006956146921030637
2074,-0.9956416195749669,-0.8470214680795625,-0.4838930164831243
2075,-0.9451338933595181,-0.585968696072352,-0.9146779772881262
2076,-1.228547064333755,-0.6392536501828063,-0.56537652307901
2077,-0.5667770742568661,-1.1129666012371908,-0.2636729354046352
2078,-1.168721559378902,-1.0127897751220587,-0.6077193063852242
2079,-0.7435670458279224,-0.42357373712522506,-0.15733644038511407
2080,-0.4554061367040103,-1.0350258195960143,-0.6178812345809916
2081,-0.5508417737601139,-0.9069856031276959,-0.28840123387459826
2082,-1.254898116768023,-0.9683900088858346,-0.8777358471231675
2083,-0.9324445473186964,-1.0250743500320576,-0.5754670059926514
2084,-0.7985834257082214,-1.1686124607484158,-0.6329549780962651
2085,-0.6820565033842181,-1.1581114207859118,-0.5391164342436845
2086,-0.7473999820890374,-0.6093417930675704,-0.8182369712742741
2087,-1.0280258503406938,-0.8202186286887185,-0.4608974514447457
2088,-0.8116996709279944,-0.9423431411640113,-0.8419611408522396
2089,-0.8738447862010195,-1.0457401515179736,-0.6901329652517028
2090,-0.8607590949059039,-0.6341063425808917,-0.6349547520195493
2091,-0.27707556135473776,-1.0786623816657253,-1.204743507758696
2092,-0.5357955069548503,-1.05733213004849,-1.2271028931849042
2093,-0.5664557302995235,-0.7700966227010744,-1.1162618494119894
2094,-0.5525560720570528,-0.9351711435490246,-0.9107961179420592
2095,-0.8394485839624943,-0.6282865756946014,-1.0171037732784587
2096,-0.3485680494759076,-0.5384003089584422,-1.312779657071351
2097,-0.6393754923452586,-0.8357691054665537,-1.0883654771969997
2098,-0.6111153435599705,-0.9495813234698574,-0.8483192356439435
2099,-0.6376071483628767,-1.0253518228644793,-1.1917532899449945
2100,-0.7826457793658816,-1.1320327349454091,-1.0233078258362287
