year,ssp119,ssp126,ssp245,ssp370,ssp585
1882,-0.07403671292287398,-0.07403671292287398,-0.08985708611280498,-0.07403671292287398,-0.07403671292287398
1883,-0.7058086415220791,-0.7058086415220791,-0.6534755125765476,-0.7058086415220791,-0.7058086415220791
1884,-1.0769893885900677,-1.0769893885900677,-1.0056117783513632,-1.0769893885900677,-1.0769893885900677
1885,-0.38394844312064064,-0.38394844312064064,-0.29115050982754653,-0.38394844312064064,-0.38394844312064064
1886,0.03469517449245353,0.03469517449245353,-0.10301999518564843,0.03469517449245353,0.03469517449245353
1887,-0.11392909548386615,-0.11392909548386615,-0.19581193689199142,-0.11392909548386615,-0.11392909548386615
1888,-0.1444452573882434,-0.1444452573882434,-0.11992269599199107,-0.1444452573882434,-0.1444452573882434
1889,-0.13905681278985577,-0.13905681278985577,-0.1624116036436336,-0.13905681278985577,-0.13905681278985577
1890,-0.0837868883422925,-0.0837868883422925,-0.11620808431126625,-0.0837868883422925,-0.0837868883422925
1891,-0.5135537800224206,-0.5135537800224206,-0.414775385656012,-0.5135537800224206,-0.5135537800224206
1892,0.09006587479189995,0.09006587479189995,-0.08589097698039007,0.09006587479189995,0.09006587479189995
1893,0.08115307685326012,0.08115307685326012,-0.019425004500149584,0.08115307685326012,0.08115307685326012
1894,-0.4277584376386293,-0.4277584376386293,-0.18426592185516433,-0.4277584376386293,-0.4277584376386293
1895,-0.12498052382385341,-0.12498052382385341,-0.08025145493245624,-0.12498052382385341,-0.12498052382385341
1896,-0.16153688905541363,-0.16153688905541363,-0.11582009729334547,-0.16153688905541363,-0.16153688905541363
1897,-0.19708276160075694,-0.19708276160075694,-0.2250384027917043,-0.19708276160075694,-0.19708276160075694
1898,-0.3312653423378179,-0.3312653423378179,-0.15508407814764885,-0.3312653423378179,-0.3312653423378179
1899,-0.22672369347891197,-0.22672369347891197,-0.16234857502392203,-0.22672369347891197,-0.22672369347891197
1900,-0.054407675379078424,-0.054407675379078424,-0.020312566647096214,-0.054407675379078424,-0.054407675379078424
