,nonCO2_erf
1929,-0.22846836161516362
1930,-0.28413781754342854
1931,-1.0660975053376625
1932,0.33813752163578803
1933,0.36731093032536694
1934,0.12788425766570283
1935,-0.5505677020142047
1936,-0.8844278913176763
1937,-0.12210992151247313
1938,0.023100639657620325
1939,-0.22145943623081865
1940,-0.482044877789506
1941,-0.6395508382079421
1942,-0.338051605896764
1943,0.28250304412410643
1944,-0.020868772745684327
1945,-0.5377231502304871
1946,-0.1096953730485577
1947,0.691249642199859
1948,0.3592919376755819
1949,0.17263836599208637
1950,0.1378796913900765
1951,0.2435527169563707
1952,-0.5450324107761575
1953,-0.590164858995927
1954,0.005229679815440091
1955,0.4564474921384216
1956,0.4224631717518781
1957,-0.14167900108621667
1958,-0.18970059401399098
1959,-0.29359452694540344
1960,-0.006776419078948215
1961,-0.3217593880924905
1962,0.24824629649927998
1963,-1.882021589511606
1964,-0.779609425830644
1965,-0.6751690831091963
1966,-0.9722651329353248
1967,-1.5361725535026522
1968,-0.4173944362868208
1969,-0.20800164116127362
1970,-0.7722531155928964
1971,-0.897652764149939
1972,0.07062985649074816
1973,0.19027562079788995
1974,0.007407371149077191
1975,-0.6947676383718937
1976,0.14707034967157395
1977,0.21802903753166447
1978,-0.17274716851924166
1979,-0.0014594261543086073
1980,0.17886348498477322
1981,-0.027337951126866766
1982,0.15721905158199956
1983,-0.6454348490963198
1984,-0.17727166668896532
1985,0.2287845664676853
1986,-0.03412599332527311
1987,0.07568036319995453
1988,0.2653837834132946
1989,0.8878005486188532
1990,0.3799630008768675
1991,-1.5355842001230176
1992,-1.9463777583300297
1993,-0.3700859427472656
1994,0.33956042641423556
1995,-0.4851227769743165
1996,0.020744822135011276
1997,-0.021590728160806538
1998,-0.15662702307258858
1999,0.4503277386839586
2000,0.8315126456588475
2001,0.624754936643267
2002,0.3954182124991892
2003,-0.06280984784158328
2004,0.21776370608892703
2005,0.27102936448874493
2006,0.6330974938972043
2007,0.6749675029146278
2008,0.5645358587816687
2009,0.16558681498357286
2010,0.592679250450328
2011,0.8717969996407895
2012,0.5429333912963186
2013,0.039055632899943404
2014,0.13635958932505465
2015,0.5091578789540581
2016,0.8620811834002291
2017,0.6845515313616324
2018,0.21196287699551375
2019,0.040057652396221055
2020,0.225242704370606
2021,0.6342400193566604
2022,0.3357996856206378
2023,0.5614939016835323
2024,0.5711783151103922
2025,0.43845498978882524
2026,0.3128648526325004
2027,0.20745131187428223
2028,0.7624337968181125
2029,0.4168347431365045
2030,-0.000391728902013444
2031,0.3578063258651798
2032,0.2760013244199868
2033,1.1315906166585976
2034,1.10095259218483
2035,0.9314704101900704
2036,0.20265061519645888
2037,0.7145061487509725
2038,0.9996360723394213
2039,0.3165574483786169
2040,-0.25957262984627816
2041,0.967262196510887
2042,0.8234937382499137
2043,0.36932435457711943
2044,0.3754861167342698
2045,0.8967016223560051
2046,0.783214019230531
2047,0.21674907459178527
2048,0.568557216357922
2049,0.13416701140980347
2050,0.5759174052634224
2051,1.0245269389326883
2052,0.5640025201008374
2053,0.4832746819216345
2054,0.8710042455688574
2055,0.8761059254585115
2056,0.6321965924613293
2057,0.9001035934682005
2058,1.1846019312011307
2059,0.9020919126967888
2060,0.013753144567011155
2061,0.9323430558525954
2062,0.5624633869321038
2063,0.46429652898997587
2064,0.30837961205715025
2065,0.572959998522951
2066,1.0821655521812166
2067,1.186694477358253
2068,0.047891775580584994
2069,0.15391553724967544
2070,0.20803044902031287
2071,1.0639847759633239
2072,0.19357720181139326
2073,0.3114816832034224
2074,0.2509615492387032
2075,1.0011370630086347
2076,0.228946311342217
2077,0.44792867356751875
2078,0.18901225179876224
2079,0.28909919619871616
2080,0.8852049654185654
2081,0.8835983128601468
2082,0.6286363714851726
2083,0.09157319550067555
2084,0.4150240669761991
2085,0.7250799875431313
2086,0.458143928104338
2087,0.2559910912017971
2088,0.2763410304798626
2089,0.42534181725622533
2090,0.25172205813903537
2091,0.09141171097920786
2092,0.4663338690394796
2093,0.569902457078677
2094,0.4215927083053601
2095,0.026803579191925664
2096,0.34153297802916205
2097,0.5932719900408814
2098,-0.13045634398047357
2099,-0.010464568426603815
