Year,nonCO2_erf
2248,1.064904496388202
2249,1.3911279726407604
2250,1.9492349657823234
2251,1.8468732376986536
2252,1.8496714835222015
2253,1.631623478474104
2254,1.0231178936313572
2255,1.306997107932835
2256,2.112757323363194
2257,1.9625546203232869
2258,1.9639060875329946
2259,1.5537396434301085
2260,0.1437754795587718
2261,1.573695200655571
2262,2.3496790919540143
2263,1.390874337507256
2264,1.7719643469453743
2265,1.9975515655906095
2266,1.4169253103504236
2267,2.0115619750345233
2268,2.278867550275643
2269,1.9043810811834783
2270,1.399495190008993
2271,0.8331198411301179
2272,1.8389649811545017
2273,1.8063503902893872
2274,1.8106662927212442
2275,1.2897000263614173
2276,1.9485064207222633
2277,0.672097736110131
2278,1.2305014166486874
2279,2.2528236374458555
2280,2.0447977888252487
2281,1.3055990430396758
