,nonCO2_erf
1938,0.5684479062715391
1939,0.13992812338642913
1940,-0.0010612402137970545
1941,0.5485044733967853
1942,0.8532138349095382
1943,0.03313583013321786
1944,-0.3298837217337451
1945,0.058275186718351635
1946,-0.4167603116409567
1947,-0.0631958846608428
1948,0.7665194332840674
1949,0.7992085336330949
1950,0.693311359325504
1951,-0.45339348821634057
1952,-1.1493334000646813
1953,-0.6609092277907911
1954,0.9236987945502427
1955,1.1434699392218481
1956,0.3690741881280486
1957,0.7272891529646768
1958,0.5077500100727554
1959,-0.2603613472935712
1960,0.16762275119924042
1961,-0.17140040999791128
1962,0.2923357014451735
1963,-1.5019929441828452
1964,-0.7263751310477482
1965,-1.2983065152292725
1966,-1.0593010954356785
1967,0.10735647479543198
1968,-0.14097811737481358
1969,0.29241222584249527
1970,0.08193114024145887
1971,-0.20852798157706454
1972,-1.0303730496992434
1973,-0.20335805050284383
1974,0.024409424136876856
1975,-0.41890661164394893
1976,0.0965333242971429
1977,-0.05341482967630129
1978,-0.06455874557640762
1979,-0.5024717077489248
1980,-0.008330709955780558
1981,0.27454684919635763
1982,0.022864463325598328
1983,-0.22669630661564044
1984,-0.29715775212101336
1985,-0.6851424623163402
1986,-0.4185756500989317
1987,-0.4121115254261114
1988,0.5695901176506799
1989,0.3424221111640542
1990,0.18631086839328415
1991,-0.48714247769766783
1992,-1.645321366046875
1993,-0.09290975657584633
1994,-0.5013496293761053
1995,0.2767040556755862
1996,0.4834770251081417
1997,0.2641832569934506
1998,-0.351138850135041
1999,-0.06306826479065575
2000,0.15313437406095232
2001,0.9078351765798576
2002,0.746379616329099
2003,0.5985401268754469
2004,0.48373037213885484
2005,0.08305954109269198
2006,1.004303615223555
2007,1.0157673407284964
2008,0.5910737703161995
2009,-0.22712729644801222
2010,-0.21619633826409368
2011,0.6324278636788923
2012,1.3208493300738255
2013,1.1834893044840982
2014,0.7011583623933895
2015,0.08561713007566629
2016,-0.147117720349069
2017,1.0311387417263744
2018,0.2756545811724207
2019,1.1803203143518681
2020,0.46513185517839517
2021,0.40500140375323346
2022,1.0081363592765333
2023,0.92595142009211
2024,0.6484107819142486
2025,0.6832001332368729
2026,0.6906230187638429
2027,0.11963627280899303
2028,-0.17055613823736548
2029,-0.14930744155733633
2030,0.6966373765613021
2031,1.0076339502247063
2032,0.82753090727382
2033,0.6971899579492677
2034,0.3789671610570786
2035,0.973545343168106
2036,0.9698164661508608
2037,0.7404380652937519
2038,0.7468463891216004
2039,0.40676703267352954
2040,0.9800463475648078
2041,0.5388636960679047
2042,0.2067856623433606
2043,0.5300169601385472
2044,1.2300008399782092
2045,0.8816558096876026
2046,1.3538204239436489
2047,0.8263228135389271
2048,0.5178049052016513
2049,0.31470099964629394
2050,0.36026001202644586
2051,0.9066708768054141
2052,0.9438121791874003
2053,0.4712706426017048
2054,0.09587190742377594
2055,1.203508166563756
2056,0.8602316510951686
2057,1.0901860722468806
2058,0.22465342556350798
2059,0.4063972213469933
2060,0.644621651122665
2061,0.3175364515424759
2062,0.2510742063687923
2063,0.41255296280628606
2064,0.24859461039815933
2065,0.11108185019628536
2066,0.5052596543163528
2067,0.37956270382586066
2068,0.5269393843990295
2069,-0.07483582851182113
2070,-0.05947427811079464
2071,0.3659072990927008
2072,0.5945409405093907
2073,0.6871750391438987
2074,0.289982796910639
2075,-0.18063498944729695
2076,-0.1897046894285257
2077,0.48821818314837806
2078,1.0047811058362717
2079,0.20721277972007535
2080,0.8357545978009737
2081,0.3789676280599199
2082,0.1122695057180243
2083,0.9928984233291622
2084,0.934623947866779
2085,0.13362973144938728
2086,0.0699861404060087
2087,0.2426521863208868
2088,0.602988325164802
2089,-0.0725625990007086
2090,-0.26229479805412526
2091,0.2958774234480175
2092,1.1275128754015453
2093,1.2156449769417232
2094,0.5364252331169683
2095,0.16531365531455222
2096,0.19886737482056116
2097,0.4099726261255987
2098,0.7582089461701456
2099,0.620958610858799
2100,0.13457643735157143
2101,0.21080673961735252
2102,-0.33895398564207735
2103,0.6398168791232388
2104,0.8196886182634575
2105,0.05327983866104846
2106,-0.3629340283809803
2107,-0.3432102149381535
2108,-0.04734689710572049
2109,-0.017945033928598697
2110,0.009058254297004353
2111,0.570320391372765
2112,0.502019989563034
2113,0.04222583102325439
2114,0.17461317223797757
2115,0.9242353055030974
2116,0.2319993183172171
2117,-0.3099031448164724
2118,0.38820318653672015
2119,0.8485913999222072
2120,-0.11055760262679515
2121,-0.4036968602924218
2122,0.9609037691893638
2123,1.3120418459991305
2124,-0.15074027933335543
2125,-0.4409782777768081
2126,0.5816754389357408
2127,1.039987710720795
2128,0.7196642944473535
2129,0.16951816164228983
2130,0.8079007154796147
2131,0.6589742511726628
2132,0.6197177821409037
2133,0.48233256378952705
2134,-0.012209780420206595
2135,0.5369100666963278
2136,1.1240080400654038
2137,0.9307274228975615
2138,1.2370258852805245
2139,0.013880607748610885
2140,0.07017041096633081
2141,0.7234385734718032
2142,0.48595696562813595
2143,0.8499847155146791
2144,0.619457150836676
2145,0.9303443326403464
2146,-0.01997892570312665
2147,0.2753474985000375
2148,1.1829577595656866
2149,1.7034350412633983
2150,1.0252383813324673
2151,0.4956674004010615
2152,0.6044309323457004
2153,0.12021440962628827
2154,0.676110961206243
2155,0.5264067102108343
2156,0.9937914859480781
2157,0.7034822839560158
2158,1.096448363999256
2159,0.7561639782393867
2160,1.1685367434524048
2161,1.1895590421530717
2162,0.8270290589803757
2163,-0.3553280725307666
2164,0.5521915587320414
2165,1.200287043907953
2166,1.0138567430077
2167,0.4659230100555267
2168,0.689602017362108
2169,0.7251948584447252
2170,1.238932495095111
2171,1.0449693462952943
2172,0.5494557884656939
2173,1.2027291993167482
2174,0.84210743257302
2175,0.44950924022759575
2176,0.6211601576023131
2177,1.2716845493632212
2178,1.7150525164426538
2179,0.9768591862703155
2180,0.6885341597162302
2181,0.7019326495789251
2182,1.0610155550446119
2183,0.7360771865453537
