,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
19,MPI-ESM1-2-LR,esm-hist,r28i1p1f1,esm-piControl,r28i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
20,MPI-ESM1-2-LR,esm-hist,r29i1p1f1,esm-piControl,r29i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
21,MPI-ESM1-2-LR,esm-hist,r2i1p1f1,esm-piControl,r1i1p1f1,0,91676,days since 1850-1-1 00:00:00,standard
22,MPI-ESM1-2-LR,esm-hist,r30i1p1f1,esm-piControl,r30i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
23,MPI-ESM1-2-LR,esm-hist,r3i1p1f1,esm-piControl,r1i1p1f1,0,108112,days since 1850-1-1 00:00:00,standard
24,MPI-ESM1-2-LR,esm-hist,r4i1p1f1,esm-piControl,r1i1p1f1,0,124548,days since 1850-1-1 00:00:00,standard
25,MPI-ESM1-2-LR,esm-hist,r5i1p1f1,esm-piControl,r1i1p1f1,0,140983,days since 1850-1-1 00:00:00,standard
26,MPI-ESM1-2-LR,esm-hist,r6i1p1f1,esm-piControl,r1i1p1f1,0,157420,days since 1850-1-1 00:00:00,standard
27,MPI-ESM1-2-LR,esm-hist,r7i1p1f1,esm-piControl,r1i1p1f1,0,365,days since 1850-1-1 00:00:00,standard
28,MPI-ESM1-2-LR,esm-hist,r8i1p1f1,esm-piControl,r1i1p1f1,0,18627,days since 1850-1-1 00:00:00,standard
29,MPI-ESM1-2-LR,esm-hist,r9i1p1f1,esm-piControl,r1i1p1f1,0,39446,days since 1850-1-1 00:00:00,standard
30,MPI-ESM1-2-LR,esm-piControl,r1i1p1f1,esm-piControl-spinup,r1i1p1f1,0,146097,days since 1850-1-1 00:00:00,standard
31,MPI-ESM1-2-LR,esm-ssp585,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
32,MPI-ESM1-2-LR,esm-ssp585,r11i1p1f1,esm-hist,r11i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
33,MPI-ESM1-2-LR,esm-ssp585,r12i1p1f1,esm-hist,r12i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
34,MPI-ESM1-2-LR,esm-ssp585,r13i1p1f1,esm-hist,r13i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
35,MPI-ESM1-2-LR,esm-ssp585,r14i1p1f1,esm-hist,r14i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
36,MPI-ESM1-2-LR,esm-ssp585,r15i1p1f1,esm-hist,r15i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
37,MPI-ESM1-2-LR,esm-ssp585,r16i1p1f1,esm-hist,r16i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
38,MPI-ESM1-2-LR,esm-ssp585,r17i1p1f1,esm-hist,r17i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
39,MPI-ESM1-2-LR,esm-ssp585,r18i1p1f1,esm-hist,r18i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
40,MPI-ESM1-2-LR,esm-ssp585,r19i1p1f1,esm-hist,r19i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
41,MPI-ESM1-2-LR,esm-ssp585,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
42,MPI-ESM1-2-LR,esm-ssp585,r20i1p1f1,esm-hist,r20i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
43,MPI-ESM1-2-LR,esm-ssp585,r21i1p1f1,esm-hist,r21i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
44,MPI-ESM1-2-LR,esm-ssp585,r22i1p1f1,esm-hist,r22i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
45,MPI-ESM1-2-LR,esm-ssp585,r23i1p1f1,esm-hist,r23i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
46,MPI-ESM1-2-LR,esm-ssp585,r24i1p1f1,esm-hist,r24i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
47,MPI-ESM1-2-LR,esm-ssp585,r25i1p1f1,esm-hist,r25i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
48,MPI-ESM1-2-LR,esm-ssp585,r26i1p1f1,esm-hist,r26i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
49,MPI-ESM1-2-LR,esm-ssp585,r27i1p1f1,esm-hist,r27i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
50,MPI-ESM1-2-LR,esm-ssp585,r28i1p1f1,esm-hist,r28i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
51,MPI-ESM1-2-LR,esm-ssp585,r29i1p1f1,esm-hist,r29i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
52,MPI-ESM1-2-LR,esm-ssp585,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
53,MPI-ESM1-2-LR,esm-ssp585,r30i1p1f1,esm-hist,r30i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
54,MPI-ESM1-2-LR,esm-ssp585,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
55,MPI-ESM1-2-LR,esm-ssp585,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
56,MPI-ESM1-2-LR,esm-ssp585,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
57,MPI-ESM1-2-LR,esm-ssp585,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
58,MPI-ESM1-2-LR,esm-ssp585,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
59,MPI-ESM1-2-LR,esm-ssp585,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
60,MPI-ESM1-2-LR,esm-ssp585,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
61,MPI-ESM1-2-LR,esm-ssp245,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
62,MPI-ESM1-2-LR,esm-ssp245,r11i1p1f1,esm-hist,r11i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
63,MPI-ESM1-2-LR,esm-ssp245,r12i1p1f1,esm-hist,r12i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
64,MPI-ESM1-2-LR,esm-ssp245,r13i1p1f1,esm-hist,r13i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
65,MPI-ESM1-2-LR,esm-ssp245,r14i1p1f1,esm-hist,r14i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
66,MPI-ESM1-2-LR,esm-ssp245,r15i1p1f1,esm-hist,r15i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
67,MPI-ESM1-2-LR,esm-ssp245,r16i1p1f1,esm-hist,r16i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
68,MPI-ESM1-2-LR,esm-ssp245,r17i1p1f1,esm-hist,r17i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
69,MPI-ESM1-2-LR,esm-ssp245,r18i1p1f1,esm-hist,r18i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
70,MPI-ESM1-2-LR,esm-ssp245,r19i1p1f1,esm-hist,r19i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
71,MPI-ESM1-2-LR,esm-ssp245,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
72,MPI-ESM1-2-LR,esm-ssp245,r20i1p1f1,esm-hist,r20i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
73,MPI-ESM1-2-LR,esm-ssp245,r21i1p1f1,esm-hist,r21i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
74,MPI-ESM1-2-LR,esm-ssp245,r22i1p1f1,esm-hist,r22i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
75,MPI-ESM1-2-LR,esm-ssp245,r23i1p1f1,esm-hist,r23i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
76,MPI-ESM1-2-LR,esm-ssp245,r24i1p1f1,esm-hist,r24i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
77,MPI-ESM1-2-LR,esm-ssp245,r25i1p1f1,esm-hist,r25i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
78,MPI-ESM1-2-LR,esm-ssp245,r26i1p1f1,esm-hist,r26i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
79,MPI-ESM1-2-LR,esm-ssp245,r27i1p1f1,esm-hist,r27i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
80,MPI-ESM1-2-LR,esm-ssp245,r28i1p1f1,esm-hist,r28i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
81,MPI-ESM1-2-LR,esm-ssp245,r29i1p1f1,esm-hist,r29i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
82,MPI-ESM1-2-LR,esm-ssp245,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
83,MPI-ESM1-2-LR,esm-ssp245,r30i1p1f1,esm-hist,r30i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
84,MPI-ESM1-2-LR,esm-ssp245,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
85,MPI-ESM1-2-LR,esm-ssp245,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
86,MPI-ESM1-2-LR,esm-ssp245,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
87,MPI-ESM1-2-LR,esm-ssp245,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
88,MPI-ESM1-2-LR,esm-ssp245,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
89,MPI-ESM1-2-LR,esm-ssp245,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
90,MPI-ESM1-2-LR,esm-ssp245,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
91,MPI-ESM1-2-LR,esm-ssp119,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
92,MPI-ESM1-2-LR,esm-ssp119,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
93,MPI-ESM1-2-LR,esm-ssp119,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
94,MPI-ESM1-2-LR,esm-ssp119,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
95,MPI-ESM1-2-LR,esm-ssp119,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
96,MPI-ESM1-2-LR,esm-ssp119,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
97,MPI-ESM1-2-LR,esm-ssp119,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
98,MPI-ESM1-2-LR,esm-ssp119,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
99,MPI-ESM1-2-LR,esm-ssp119,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
100,MPI-ESM1-2-LR,esm-ssp119,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
101,MPI-ESM1-2-LR,esm-ssp126,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
102,MPI-ESM1-2-LR,esm-ssp126,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
103,MPI-ESM1-2-LR,esm-ssp126,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
104,MPI-ESM1-2-LR,esm-ssp126,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
105,MPI-ESM1-2-LR,esm-ssp126,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
106,MPI-ESM1-2-LR,esm-ssp126,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
107,MPI-ESM1-2-LR,esm-ssp126,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
108,MPI-ESM1-2-LR,esm-ssp126,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
109,MPI-ESM1-2-LR,esm-ssp126,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
110,MPI-ESM1-2-LR,esm-ssp126,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
111,MPI-ESM1-2-LR,esm-ssp370,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
112,MPI-ESM1-2-LR,esm-ssp370,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
113,MPI-ESM1-2-LR,esm-ssp370,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
114,MPI-ESM1-2-LR,esm-ssp370,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
115,MPI-ESM1-2-LR,esm-ssp370,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
116,MPI-ESM1-2-LR,esm-ssp370,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
117,MPI-ESM1-2-LR,esm-ssp370,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
118,MPI-ESM1-2-LR,esm-ssp370,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
119,MPI-ESM1-2-LR,esm-ssp370,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
120,MPI-ESM1-2-LR,esm-ssp370,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
121,MPI-ESM1-2-LR,esm-ssp534-over,r10i1p1f1,esm-hist,r10i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
122,MPI-ESM1-2-LR,esm-ssp534-over,r1i1p1f1,esm-hist,r1i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
123,MPI-ESM1-2-LR,esm-ssp534-over,r2i1p1f1,esm-hist,r2i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
124,MPI-ESM1-2-LR,esm-ssp534-over,r3i1p1f1,esm-hist,r3i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
125,MPI-ESM1-2-LR,esm-ssp534-over,r4i1p1f1,esm-hist,r4i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
126,MPI-ESM1-2-LR,esm-ssp534-over,r5i1p1f1,esm-hist,r5i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
127,MPI-ESM1-2-LR,esm-ssp534-over,r6i1p1f1,esm-hist,r6i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
128,MPI-ESM1-2-LR,esm-ssp534-over,r7i1p1f1,esm-hist,r7i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
129,MPI-ESM1-2-LR,esm-ssp534-over,r8i1p1f1,esm-hist,r8i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
130,MPI-ESM1-2-LR,esm-ssp534-over,r9i1p1f1,esm-hist,r9i1p1f1,60265,60265,days since 1850-1-1 00:00:00,standard
