year,tas,rlut,rsut,rsdt
1938,286.6433042509826,238.73056128969588,101.05109449886687,340.2233080011988
1939,286.62844351301885,238.77633381420335,101.23478468208941,340.2233080011988
1940,286.53091531077797,238.8717126324731,100.94145722916056,340.2392703179717
1941,286.51726843089256,238.47674958309892,101.17869054855419,340.2233080011988
1942,286.6664025229316,238.66527787962696,101.14861165749397,340.2233080011988
1943,286.61692446094054,238.85904601013382,101.19879600365852,340.2233080011988
1944,286.5419082019374,238.54461488285128,100.5903906082737,340.2392703179717
1945,286.58756195081077,238.54267231794185,101.25170623870201,340.2233080011988
1946,286.4964620971404,238.60527708802104,101.20802558891292,340.2233080011988
1947,286.5434126148317,238.82622187063734,100.26278829121856,340.2233080011988
1948,286.5063080452191,238.8088393316016,100.34613511769378,340.2392703179717
1949,286.6226398681367,238.91559068538106,100.54230444212358,340.2233080011988
1950,286.71275198981647,238.8465121027239,100.8167735005038,340.2233080011988
1951,286.80055318459966,238.93389752137998,101.21215664785576,340.2233080011988
1952,286.7471668902243,239.0451174651448,101.13585038801774,340.2392703179717
1953,286.5109748179844,238.90294077752264,100.98656005983658,340.2233080011988
1954,286.5597706913914,238.6882609699304,100.72187936736894,340.2233080011988
1955,286.59733943628623,238.63005784708847,101.16070192427053,340.2233080011988
1956,286.55700476579335,238.79389430496713,101.01308888286815,340.2392703179717
1957,286.57395967660193,238.64194439895587,101.12509654743116,340.2233080011988
1958,286.79191482935875,238.959109549942,101.16187154814298,340.2233080011988
1959,286.5976121412431,238.67656673239688,101.28476737810354,340.2233080011988
1960,286.5276980735627,238.75704247963688,101.0779419933328,340.2392703179717
1961,286.468854059369,238.57244648197374,101.2397216105421,340.2233080011988
1962,286.4428411987779,238.6357663097198,100.97545506529548,340.2233080011988
1963,286.54907171299783,238.6569225704345,101.30187922630121,340.2233080011988
1964,286.5387870799863,238.72351429144513,100.94227212467236,340.2392703179717
1965,286.61404502745364,238.82794600048376,101.10291760095531,340.2233080011988
1966,286.4731796506704,238.60112205982693,101.07308495392874,340.2233080011988
1967,286.58938677188195,238.6969265210986,100.66959627176068,340.2233080011988
1968,286.7213732232826,239.05207822490354,100.81257791154695,340.2392703179717
1969,286.615646274097,238.75437486880523,100.8973385310918,340.2233080011988
1970,286.5105012157482,238.6849966664353,100.89587425402662,340.2233080011988
1971,286.5208202901859,238.53353170910046,100.76898338029672,340.2233080011988
1972,286.69961830006645,238.75161111519049,101.03484650928668,340.2392703179717
1973,286.6711992682369,238.9617877239524,100.9760150474494,340.2233080011988
1974,286.6586821117551,239.00417549046293,100.9838955733854,340.2233080011988
1975,286.5374530025875,238.6961382676797,100.7725923151267,340.2233080011988
1976,286.57695144761414,238.79648016885074,101.02746862211713,340.2392703179717
1977,286.63700531775334,238.96702737266102,100.65650827698745,340.2233080011988
1978,286.7948467730491,238.92504043546737,100.58408176887464,340.2233080011988
1979,286.7549221762226,239.04127092746526,100.91297528566179,340.2233080011988
1980,286.73085997010475,239.02876438623676,100.60878680791416,340.2392703179717
1981,286.69743756458877,238.78786655590702,100.78030831422693,340.2233080011988
1982,286.74115722036566,239.12184366357607,100.87753072049007,340.2233080011988
1983,286.83514501066867,238.88521508193762,100.59498666720127,340.2233080011988
1984,286.8515958936286,239.24797714976697,100.98642375276908,340.2392703179717
1985,286.6735209218766,238.92276628770503,100.95083023228814,340.2233080011988
1986,286.57391492671667,238.96147598104093,100.80055389083806,340.2233080011988
1987,286.52204826552605,238.65112835417526,100.87156106820792,340.2233080011988
1988,286.58221723134557,238.87385967629746,101.05706267732857,340.2392703179717
1989,286.50379198200835,238.79026652315585,100.72016830946154,340.2233080011988
1990,286.58139701838553,238.5575353029332,100.8945396597577,340.2233080011988
1991,286.7006552153079,238.9956931390875,100.93442165721444,340.2233080011988
1992,286.61472143153645,238.8598031529374,100.76314728521851,340.2392703179717
1993,286.6515840723654,238.57505161231234,100.9261667981766,340.2233080011988
1994,286.7740559052474,239.03483950049585,101.27315907822202,340.2233080011988
