,nonCO2_erf
1950,-0.06520119813954572
1951,0.530170154794492
1952,0.4248390266148596
1953,-0.8714401108839525
1954,0.9978879209534327
1955,-0.7678369924179003
1956,-0.35625162008377576
1957,-0.2694131799683778
1958,-0.03775777801468738
1959,-1.122888149793399
1960,-1.78319732919859
1961,-0.9146784226572222
1962,-2.4671663707490565
1963,-2.5552530542106093
1964,-1.138334309991897
1965,-0.509099876605762
1966,-1.527130689884285
1967,-0.5497628300812574
1968,-2.28193530196967
1969,-2.1288899414911273
1970,-1.8061525618280205
1971,-1.7841916367150814
1972,-2.645610083632672
1973,-1.2861769601269066
1974,-1.4812830010367908
1975,-1.3780153461767042
1976,-1.7318927661666863
1977,-1.6783237885585784
1978,-2.3093778776306406
1979,-0.6564784932307439
1980,-0.8800041876281349
1981,-0.9647689027652342
1982,-0.379856187389247
1983,-2.57920160931022
1984,-0.8177074462813467
1985,-1.3678605658301
1986,-1.9947172379373312
1987,-2.352543899138302
1988,-2.573344086827509
1989,-1.6259327168023814
1990,-0.6618226606843722
1991,-1.3999924416934406
1992,-2.572745857589032
1993,-2.4008964165564732
1994,-1.3294474293614325
1995,-1.9493947505987357
1996,-2.6294976600681146
1997,-1.7769108233825692
1998,-1.1792899315575456
1999,0.8329105648111834
2000,1.6990923562040554
2001,0.8374495276119351
2002,-2.9376940856573563
2003,-1.9149465713547995
2004,-0.84880980427288
2005,-0.026688128595607985
2006,1.3360708091632838
2007,0.9615535943222102
2008,-1.4403655271124896
2009,-2.310535821302513
2010,-1.1881899100590425
2011,1.286931528755265
2012,0.4444987245452783
2013,0.028811801943853244
2014,0.6923516495555724
2015,-0.8021919576072889
2016,0.6506635493998592
2017,0.3976903519475883
2018,-0.4691606449646648
2019,1.2529206949888612
2020,-0.4736969376470235
2021,-0.18061345998553646
2022,1.784868842516798
2023,1.0147753872775866
2024,0.8529545455110026
2025,2.710757234511327
2026,3.456191726932673
2027,1.6433596983035565
2028,1.6416177213173113
2029,1.8359368532788691
2030,1.9495464550024852
2031,2.132150015124617
2032,1.4407832725639098
2033,2.113426967163627
2034,1.3543652070109675
2035,-0.8941734502133951
2036,2.0268492325214753
2037,1.372799608756016
2038,0.9435517201086041
2039,2.165612398346195
2040,1.6948535175175352
2041,0.015522825385034356
2042,2.032867383797289
2043,3.2561813710337293
2044,0.7998909425866225
2045,0.8721162566891869
2046,2.5508484761873085
2047,0.42363948651935823
2048,1.2394113291374849
2049,1.5608038694160729
2050,1.1666222715189876
2051,0.7714243507608072
2052,1.668605946486124
2053,0.4692983262291719
2054,0.8744525567839725
2055,2.0599474787566603
2056,2.404764486965218
2057,1.073672143539382
2058,2.115584607664736
2059,2.3555515997395555
2060,0.3314296143262414
2061,1.085113644287917
2062,3.330104587074409
2063,3.201332400578367
2064,0.2588598178377448
2065,1.2437105333358405
2066,1.8186380484669122
2067,3.1971992999216314
2068,2.480249952661722
2069,1.3459519948184058
2070,2.2582463935085846
2071,2.348918606399773
2072,1.261822753665836
2073,0.6647051878133285
2074,1.5186492684040584
2075,2.6907005077194435
2076,2.413767290964049
2077,0.23252225958614403
2078,1.2318195850458573
2079,1.9942902489800431
2080,0.9654839983768424
2081,2.190334296355262
2082,2.6635920899707575
2083,1.7002038984251375
2084,2.0027113188247703
2085,2.2244999792821916
2086,2.6942702005214922
2087,1.9759489220657613
2088,1.1399146357420458
2089,2.19576118843979
2090,4.490801007616973
2091,2.4293788151278797
2092,2.0494002616259284
2093,3.89561748376974
2094,1.4784282565896285
2095,1.9729087225331805
2096,2.807778048653711
2097,1.4601740075958451
2098,1.5685408251919717
2099,2.291483728614883
2100,1.2372855489981405
2101,0.820418188531413
2102,3.6273853308962685
2103,3.932393401632786
2104,0.8260806698723415
2105,1.7402630374063863
2106,1.6216781906806395
2107,0.24871427230255994
2108,1.3565374776671875
2109,2.984583951063435
2110,2.778937919396904
2111,0.4109959983424798
2112,1.9878911706435973
2113,2.348691771089892
2114,2.6180211846850527
2115,2.7445414199558114
2116,1.364345758197652
2117,1.8589564942168435
2118,3.0199708561741616
2119,1.651855605253301
2120,0.3374605954103267
2121,2.125247255686566
2122,3.198641777680899
2123,2.486904144170445
2124,0.32332835881840283
2125,1.2768037153454495
2126,2.673157798552374
2127,0.9175469431781749
2128,1.0615707283325602
2129,3.0221527086902986
2130,3.0455684578261053
2131,2.644148607060451
2132,1.5295670180723793
2133,3.1751787013808377
2134,1.1136352451257838
2135,2.711737303497321
2136,2.455923677413656
2137,1.9018499537732263
2138,1.9755575216058883
2139,1.9612425389409183
2140,2.819958726241514
2141,1.6310562213255428
2142,0.7510617886804654
2143,1.8870191656045576
2144,4.021357318416122
2145,3.4380175416954364
2146,1.7673889001560101
2147,2.611702728215734
2148,2.229891028605592
2149,1.1337025850320175
2150,3.005977923815304
2151,3.5803812138400772
2152,2.4462215635323785
2153,0.5072873708766139
2154,2.3851704751552667
2155,1.8549439608117981
2156,1.951574794318072
2157,3.428908094427879
2158,0.5773622052950055
2159,1.2200732219499106
2160,3.3810489183591184
2161,5.1045929724363495
2162,3.0629088967386764
2163,2.544550677800924
2164,3.936434271095594
2165,3.1789055613851906
2166,0.3497001195003929
2167,2.089834908747589
2168,1.8936209852758736
2169,-0.04498900779382642
2170,2.0546794044376577
2171,2.6465259634741987
2172,0.2633716486590897
2173,1.4192830449443616
2174,3.1546386324873685
2175,3.377159040552103
2176,2.8634246064527815
2177,1.5697113592112304
2178,2.003194859385996
2179,2.1880179283359094
2180,2.439925349843956
2181,2.4898866411098126
2182,1.3782012152575835
2183,1.1497797172866129
2184,1.839153408890033
2185,3.219689603593302
2186,2.224300146397371
2187,2.030486027520517
2188,2.1960237813356014
2189,1.0529211496486122
2190,0.8617972001636148
2191,2.471076300498371
2192,4.742968957646846
2193,2.925583149517569
2194,2.6831868969241253
2195,3.5728263084936582
2196,1.1148093393695322
2197,1.6785593982390932
2198,4.268227684848889
2199,4.002442667855675
2200,1.8076898571443758
2201,2.267263427955637
2202,3.1842329338563564
2203,3.6906813011861894
2204,0.7848985617952251
2205,2.540902453879066
2206,3.3098099962524663
2207,3.358931820792533
2208,3.1068797282312386
2209,2.4121548845560277
2210,1.072596960034638
2211,2.911432588960732
2212,3.416695645595588
2213,1.1101015040664666
2214,2.382495070101526
2215,4.451164785886904
2216,4.135477163687245
2217,0.6721596848844391
2218,1.5734923918619692
2219,3.2143245482740284
2220,3.4098027916196854
2221,3.9560662764204215
2222,2.004532491990007
2223,1.3010687091406228
2224,1.409542163053664
2225,2.0568802892444715
2226,3.0643698830751553
2227,3.6489292257802624
2228,2.1390737852571062
2229,1.6334734908338182
2230,2.3208578587070114
2231,3.4729356641241216
2232,3.234709632011444
2233,3.104057028900295
2234,3.1560482987206577
2235,4.440407656341896
2236,3.6995246017832537
2237,1.1328809604551053
2238,3.2386284820844233
2239,3.7071213739092
2240,2.965976896081125
2241,2.621386438825532
2242,3.1855459558778225
2243,2.0785587110526453
2244,1.272861750573147
2245,2.4484524588687195
2246,4.454211247025029
2247,4.055780860085683
2248,1.13620362720787
2249,1.2216538532526173
2250,3.2705713561022374
2251,2.9757242194078697
2252,2.0741544590387884
2253,3.785704574150195
2254,3.8398050372245747
2255,2.216712311082671
2256,2.60318408227075
2257,1.910001814634609
2258,2.5016164839034234
2259,3.5700011695695655
2260,2.981200758945156
2261,3.004965412728439
2262,3.981042103344022
2263,1.7307362432655884
2264,1.453480421950253
2265,3.7341593594137037
2266,2.37814994109351
2267,2.2566156356273455
2268,2.7728542790053763
