year,tas,rlut,rsut,rsdt
1888,286.677211096602,238.48411539992478,100.97207246607444,340.1934151577479
1889,286.61464385926934,238.55031935806846,101.35536537019395,340.15996996242114
1890,286.5593930793611,238.49347530656055,101.00995601644178,340.16402465553864
1891,286.49397553180614,238.13651526611795,101.41964287618691,340.21495408234614
1892,286.6116092655524,238.71086898670842,101.4810706323894,340.2920783142383
1893,286.47709978182814,238.3581255243464,100.96197174794848,340.29193054300714
1894,286.66109513105147,238.34165400674067,101.03537550556,340.32724133822853
1895,286.83071631813635,238.83546747842453,101.26611536632714,340.295298453672
1896,286.74405402874595,238.77154903164092,101.07823554053711,340.2731326200211
1897,286.8254065728309,238.97409203481743,100.93211987577946,340.21310193235706
1898,286.7043540231519,238.67751530585636,100.8879049270464,340.1943565669502
1899,286.69626937882094,238.77133343013642,100.59595187223597,340.1757350884805
1900,286.8069777393184,238.6422119547227,101.21530734724344,340.1674246704205
1901,286.6981329935947,238.7696324437555,100.9833197015155,340.14638975745765
1902,286.7003551161636,238.52871182373852,100.72942307471412,340.1504507350907
1903,286.7490277055446,237.820612243813,101.78098476513345,340.1907053603795
1904,286.920206093518,238.77071718667264,101.9477679637551,340.28631868981813
1905,286.6320195145604,238.78553013728848,101.59747022194382,340.2261957049613
1906,286.44763089247186,238.46835718501086,100.24271724271375,340.2721005577883
1907,286.504628377809,238.17388230147193,100.86445920573664,340.2443458191585
1908,286.80019931162104,238.6873294839361,100.33772601226211,340.29609703347995
1909,286.9226247813861,238.97243538203034,100.89227065447044,340.2311544780625
1910,287.04958346008294,238.8520847903383,101.34080090267308,340.2059481923821
1911,286.94387171122844,238.99883646370907,101.0237043957478,340.17279909671186
1912,286.6813354116428,238.37267362186023,101.44630074737363,340.1879181107252
1913,286.63162126379467,238.36550571436211,101.18897621931642,340.15913479448903
1914,286.64234336162406,238.4835603109257,101.03101488156697,340.1837700708032
1915,286.7437558909049,238.48679446168936,101.53868454405938,340.2629561600722
